scale_group,series_a,series_b,model_a,model_b,source_a,source_b,selected_a,selected_b
le_4b,qwen3,qwen2.5,Qwen3-0.6B,Qwen2.5-0.5B-Instruct,Qwen3-0.6B-Base,Qwen2.5-0.5B,Qwen3-0.6B,Qwen2.5-0.5B-Instruct
le_4b,qwen3,qwen2.5,Qwen3-0.6B,Qwen2.5-1.5B-Instruct,Qwen3-0.6B-Base,Qwen2.5-1.5B,Qwen3-0.6B,Qwen2.5-1.5B-Instruct
le_4b,qwen3,qwen2.5,Qwen3-0.6B,Qwen2.5-3B-Instruct,Qwen3-0.6B-Base,Qwen2.5-3B,Qwen3-0.6B,Qwen2.5-3B-Instruct
le_4b,qwen3,llama,Qwen3-0.6B,Llama-3.2-1B-Instruct,Qwen3-0.6B-Base,Llama-3.2-1B,Qwen3-0.6B,Llama-3.2-1B-Instruct
le_4b,qwen3,llama,Qwen3-0.6B,Llama-3.2-3B-Instruct,Qwen3-0.6B-Base,Llama-3.2-3B,Qwen3-0.6B,Llama-3.2-3B-Instruct
le_4b,qwen3,gemma2,Qwen3-0.6B,Gemma-2-2B-Instruct,Qwen3-0.6B-Base,Gemma-2-2B,Qwen3-0.6B,Gemma-2-2B-Instruct
le_4b,qwen3,gemma3,Qwen3-0.6B,Gemma-3-1B-Instruct,Qwen3-0.6B-Base,Gemma-3-1B,Qwen3-0.6B,Gemma-3-1B-Instruct
le_4b,qwen3,gemma3,Qwen3-0.6B,Gemma-3-4B-Instruct,Qwen3-0.6B-Base,Gemma-3-4B,Qwen3-0.6B,Gemma-3-4B-Instruct
le_4b,qwen3,gemma4,Qwen3-0.6B,Gemma-4-E2B-Instruct,Qwen3-0.6B-Base,Gemma-4-E2B,Qwen3-0.6B,Gemma-4-E2B-Instruct
le_4b,qwen3,gemma4,Qwen3-0.6B,Gemma-4-E4B-Instruct,Qwen3-0.6B-Base,Gemma-4-E4B,Qwen3-0.6B,Gemma-4-E4B-Instruct
le_4b,qwen3,qwen3.5_dense,Qwen3-0.6B,Qwen3.5-0.8B-Instruct,Qwen3-0.6B-Base,Qwen3.5-0.8B-Base,Qwen3-0.6B,Qwen3.5-0.8B-Instruct
le_4b,qwen3,qwen3.5_dense,Qwen3-0.6B,Qwen3.5-2B-Instruct,Qwen3-0.6B-Base,Qwen3.5-2B-Base,Qwen3-0.6B,Qwen3.5-2B-Instruct
le_4b,qwen3,qwen3.5_dense,Qwen3-0.6B,Qwen3.5-4B-Instruct,Qwen3-0.6B-Base,Qwen3.5-4B-Base,Qwen3-0.6B,Qwen3.5-4B-Instruct
le_4b,qwen3,qwen2.5,Qwen3-1.7B,Qwen2.5-0.5B-Instruct,Qwen3-1.7B-Base,Qwen2.5-0.5B,Qwen3-1.7B,Qwen2.5-0.5B-Instruct
le_4b,qwen3,qwen2.5,Qwen3-1.7B,Qwen2.5-1.5B-Instruct,Qwen3-1.7B-Base,Qwen2.5-1.5B,Qwen3-1.7B,Qwen2.5-1.5B-Instruct
le_4b,qwen3,qwen2.5,Qwen3-1.7B,Qwen2.5-3B-Instruct,Qwen3-1.7B-Base,Qwen2.5-3B,Qwen3-1.7B,Qwen2.5-3B-Instruct
le_4b,qwen3,llama,Qwen3-1.7B,Llama-3.2-1B-Instruct,Qwen3-1.7B-Base,Llama-3.2-1B,Qwen3-1.7B,Llama-3.2-1B-Instruct
