model_a,model_b,align_mode,n_tokens,n_bootstrap,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos_mean,gcorr_E_cos_std,gcorr_E_cos_se,gcorr_E_cos_ci95_low,gcorr_E_cos_ci95_high,gcorr_E_cos_median,gcorr_E_euc_mean,gcorr_E_euc_std,gcorr_E_euc_se,gcorr_E_euc_ci95_low,gcorr_E_euc_ci95_high,gcorr_E_euc_median,gcorr_E_euc2_mean,gcorr_E_euc2_std,gcorr_E_euc2_se,gcorr_E_euc2_ci95_low,gcorr_E_euc2_ci95_high,gcorr_E_euc2_median,gcorr_U_cos_mean,gcorr_U_cos_std,gcorr_U_cos_se,gcorr_U_cos_ci95_low,gcorr_U_cos_ci95_high,gcorr_U_cos_median,gcorr_U_euc_mean,gcorr_U_euc_std,gcorr_U_euc_se,gcorr_U_euc_ci95_low,gcorr_U_euc_ci95_high,gcorr_U_euc_median,gcorr_U_euc2_mean,gcorr_U_euc2_std,gcorr_U_euc2_se,gcorr_U_euc2_ci95_low,gcorr_U_euc2_ci95_high,gcorr_U_euc2_median
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,id,20000,100,5000000,1024,896,151936,151936,True,True,0.7833699119204901,0.0036481399043850954,0.00036481399043850955,0.7762411914126465,0.7906188047617544,0.7832882457292565,0.8763180739617151,0.0025911857449207347,0.00025911857449207346,0.8704160835081176,0.8814121637853295,0.8764599442042098,0.857222639149446,0.0027847292331449323,0.0002784729233144932,0.8508288693415871,0.862522096665849,0.8573893406999507,0.7833174265635846,0.0036232332718846303,0.000362323327188463,0.7764630719324827,0.7903759731218596,0.7833694642507536,0.8763152380083967,0.002559013885588929,0.0002559013885588929,0.8704988931389437,0.8813942359357746,0.8764708371396415,0.8572333621912261,0.002744886312849503,0.0002744886312849503,0.8509364387826617,0.8626559625441501,0.8573731582346484
Qwen3-0.6B,Qwen2.5-1.5B-Instruct,id,20000,100,5000000,1024,1536,151936,151936,True,True,0.8614344383058284,0.003216121072187168,0.0003216121072187168,0.855859442947635,0.8672081320364627,0.8614354966458775,0.9148003063544969,0.002120155746333875,0.00021201557463338753,0.910698439827152,0.9184255814278526,0.9149231300160572,0.9022191990982368,0.002031421086759976,0.00020314210867599763,0.8984541484070816,0.9057602471720496,0.9023364473741649,0.8614049209033285,0.003206803050143832,0.0003206803050143832,0.8559087289611356,0.8674130783432942,0.8615210272934881,0.9147864587584157,0.0021070874903873394,0.00021070874903873394,0.9106496557713986,0.918558549482502,0.9149449202095126,0.9022047495725924,0.0020252613382545836,0.00020252613382545836,0.8983821309577364,0.9057913449485374,0.9024553364966665
Qwen3-0.6B,Qwen2.5-3B-Instruct,id,20000,100,5000000,1024,2048,151936,151936,True,True,0.8500858131115706,0.0035751533442733934,0.0003575153344273393,0.8435846954587516,0.8564543689973275,0.8501559901219641,0.8917254851976891,0.002490321390778957,0.00024903213907789574,0.8870780327070195,0.8960952183549183,0.8917757118668925,0.8747603534123951,0.002400450380744757,0.0002400450380744757,0.8702292320569379,0.8793664432726541,0.8747768652145402,0.8500582287213461,0.003590172566538403,0.0003590172566538403,0.8436181563711648,0.856596833114553,0.8502949162074558,0.8917197035476266,0.0024859096110863266,0.00024859096110863265,0.886899753881646,0.8962172110938555,0.8918410899907294,0.8747560703080964,0.0024018821695497667,0.00024018821695497667,0.8703119671963437,0.879435394893996,0.8747491135286316
Qwen3-0.6B,Llama-3.2-1B-Instruct,string,20000,100,5000000,1024,2048,151936,128256,True,True,0.6229222278548575,0.0035450612610471535,0.00035450612610471536,0.6157518637689707,0.6300210630677617,0.6229998474115733,0.5275874738194224,0.004724501952097875,0.00047245019520978753,0.519540311328498,0.5387905444108443,0.5275835774048024,0.5342060511312726,0.004557091801411764,0.00045570918014117644,0.5263443737608464,0.5450048256942082,0.533942403703555,0.6229491129878334,0.0035765627725389522,0.0003576562772538952,0.6154425153300028,0.6298083789617184,0.6230335616263418,0.5275975467730603,0.004719959674942609,0.0004719959674942609,0.5198604129486215,0.5385014205228483,0.5278231803777803,0.5342152541284474,0.0045490647224779085,0.0004549064722477908,0.5266887054032413,0.5447743968655483,0.5343416530787778
Qwen3-0.6B,Llama-3.2-3B-Instruct,string,20000,100,5000000,1024,3072,151936,128256,True,True,0.6190597247248327,0.0037090288304029648,0.0003709028830402965,0.6115080739230221,0.6264942266759026,0.619266526231949,0.46757120354917237,0.004934274965256705,0.0004934274965256705,0.4590085914024663,0.4781495742414021,0.4673508696934259,0.4723946544377559,0.004788413277839791,0.00047884132778397914,0.4637488969955052,0.4830369480317817,0.47211403397762525,0.6190786521048774,0.003745245875567494,0.0003745245875567494,0.6112485881806647,0.6265610728056789,0.61922148931545,0.46757284168495267,0.004965414466949933,0.0004965414466949934,0.458909974243477,0.4783247130651544,0.4673266020138307,0.4723952077961852,0.004825395243354877,0.00048253952433548766,0.4638040212258352,0.4831441275014175,0.47254839545958754
Qwen3-0.6B,Gemma-2-2B-Instruct,string,20000,100,5000000,1024,2304,151936,256000,True,True,0.5950025203113279,0.0018956485366673293,0.00018956485366673293,0.5914578421245006,0.5989274602534048,0.5951303604946856,0.29136545460069835,0.004054767394551339,0.00040547673945513384,0.2843557386936606,0.3002265237540839,0.2912753358325655,0.2615996676158248,0.004602228078526519,0.00046022280785265195,0.25407602364657755,0.2721376334633626,0.2612686362476053,0.5949167219629872,0.0019287239835569698,0.00019287239835569697,0.5912741200511905,0.5988216576420909,0.5948415070054174,0.2913349533263097,0.003960688260452136,0.0003960688260452136,0.2844440142275488,0.3000800195508564,0.29116899439930377,0.26157461294259354,0.0045003533986290424,0.00045003533986290425,0.25421743735197155,0.2718051723070257,0.2612337210098944
Qwen3-0.6B,Gemma-3-1B-Instruct,string,20000,100,5000000,1024,1152,151936,262144,True,True,0.4969924772723835,0.0017395702611002453,0.00017395702611002454,0.49345720753355543,0.5004112661802477,0.49720829922117243,0.18037031150652566,0.0024199763578386614,0.00024199763578386613,0.17545863665771755,0.18563969813221876,0.18012786041941817,0.1741938750415669,0.0023722525175786306,0.00023722525175786307,0.16937863078940174,0.1794281156917841,0.17411276092623784,0.49697255469790014,0.0016672531284778263,0.00016672531284778262,0.4937845452729344,0.5000516763191557,0.4968724720025365,0.18039459272232863,0.002402581606018156,0.00024025816060181557,0.17548858347660437,0.1859572760550025,0.18010540808512043,0.17423399030722234,0.002372551407575102,0.00023725514075751018,0.1694963289137302,0.17969351850194867,0.1738876117648036
Qwen3-0.6B,Gemma-3-4B-Instruct,string,20000,100,5000000,1024,2560,151936,262208,True,True,0.31202629187381453,0.0016697256210024985,0.00016697256210024985,0.3088653096966914,0.3148862930066094,0.31191598913333596,0.17746781049474541,0.0019560320928659895,0.00019560320928659896,0.17389698791338967,0.18140713813350642,0.1774102523972993,0.16865132585373183,0.0019352459396950203,0.00019352459396950204,0.16507792253821132,0.1725597033692084,0.16861320996052528,0.311963333361296,0.0015084752593851713,0.00015084752593851714,0.3089601765042347,0.31456673930743745,0.3118492663221383,0.17738662615887968,0.0019241600876489522,0.00019241600876489522,0.17405934870194947,0.18101380275305418,0.17728166040651439,0.1685907205625153,0.0019225780104877306,0.00019225780104877306,0.16528536619925827,0.1720593870626042,0.16846982928309057
Qwen3-0.6B,Gemma-4-E2B-Instruct,string,20000,100,5000000,1024,1536,151936,262144,True,True,0.5342774990718231,0.0018295637742579876,0.00018295637742579875,0.5306408677897725,0.5380865036699134,0.5343648792068573,0.3753001364897917,0.002237334486385965,0.0002237334486385965,0.37152216081981,0.3802299415143673,0.3752716673992781,0.36860286833325434,0.002197549397640928,0.0002197549397640928,0.36482804864312146,0.3732984637686993,0.36858205974907676,0.5342605791980031,0.0018534426772168612,0.00018534426772168612,0.530730443698136,0.5385639760003476,0.5342096019698686,0.37542446775336763,0.002331112158970237,0.00023311121589702369,0.37156724177235223,0.38064794225497056,0.3754412856269833,0.36873410828053266,0.0022900905975218144,0.00022900905975218144,0.36470739718782336,0.3738120374031553,0.3687523249255938
Qwen3-0.6B,Gemma-4-E4B-Instruct,string,20000,100,5000000,1024,2560,151936,262144,True,True,0.3888619779192961,0.0019096459627623208,0.00019096459627623207,0.3856770518135031,0.39193859044012297,0.38899687150999873,0.44174173512148923,0.0022142480315979316,0.00022142480315979316,0.4373954136280368,0.44655153159980954,0.4417174934902518,0.4363965710242298,0.0021795885797219073,0.00021795885797219072,0.4319309834127898,0.4410707595274829,0.43645968701074406,0.38885071265934373,0.001825234464061525,0.0001825234464061525,0.3853404330789669,0.3921650411878004,0.38899295052021826,0.4417848365152146,0.0022908743993943353,0.00022908743993943354,0.4376874166292829,0.44687009641493486,0.4416551469168415,0.4364469844928389,0.0022544230117087305,0.00022544230117087306,0.4323437855492626,0.4413305534111777,0.4364055308711907
