model,family,hidden_dims,vocab_sizes,declared_tie_word_embeddings,actual_tied_allclose,audit_label,occurrences,note
DeepSeek-V2-Lite-Chat,DeepSeek,2048,102400,False,False,untied,5,
Gemma-2-27B,Gemma2,4608,256000,True,True,tied,8,
Gemma-2-27B-Instruct,Gemma2,4608,256000,True,True,tied,8,
Gemma-2-2B,Gemma2,2304,256000,True,True,tied,11,
Gemma-2-2B-Instruct,Gemma2,2304,256000,True,True,tied,11,
Gemma-2-9B,Gemma2,3584,256000,True,True,tied,13,
Gemma-2-9B-Instruct,Gemma2,3584,256000,True,True,tied,13,
Llama-3.1-70B-Base,Llama,8192,128256,False,False,untied,9,
Llama-3.1-70B-Instruct,Llama,8192,128256,False,False,untied,9,
Llama-3.1-8B,Llama,4096,128256,False,False,untied,15,
Llama-3.1-8B-Instruct,Llama,4096,128256,False,False,untied,15,
Llama-3.2-1B,Llama,2048,128256,True,True,tied,13,
Llama-3.2-1B-Instruct,Llama,2048,128256,True,True,tied,13,
Llama-3.2-3B,Llama,3072,128256,True,True,tied,11,
Llama-3.2-3B-Instruct,Llama,3072,128256,True,True,tied,11,
Mistral-7B-v0.3,Mistral,4096,32768,False,False,untied,9,
Qwen2.5-0.5B,Qwen2.5,896,151936,True,True,tied,15,
Qwen2.5-0.5B-Instruct,Qwen2.5,896,151936,True,True,tied,15,
Qwen2.5-1.5B,Qwen2.5,1536,151936,True,True,tied,19,
Qwen2.5-1.5B-Instruct,Qwen2.5,1536,151936,True,True,tied,19,
Qwen2.5-14B,Qwen2.5,5120,152064,False,False,untied,18,
Qwen2.5-14B-Instruct,Qwen2.5,5120,152064,False,False,untied,15,
Qwen2.5-32B,Qwen2.5,5120,152064,False,False,untied,16,
Qwen2.5-32B-Instruct,Qwen2.5,5120,152064,False,False,untied,16,
Qwen2.5-3B,Qwen2.5,2048,151936,True,True,tied,17,
Qwen2.5-3B-Instruct,Qwen2.5,2048,151936,True,True,tied,17,
Qwen2.5-72B-Base,Qwen2.5,8192,152064,False,False,untied,15,
Qwen2.5-72B-Instruct,Qwen2.5,8192,152064,False,False,untied,15,
Qwen2.5-7B,Qwen2.5,3584,152064,False,False,untied,24,
Qwen2.5-7B-Instruct,Qwen2.5,3584,152064,False,False,untied,21,
Qwen3-0.6B,Qwen3,1024,151936,True,True,tied,12,
Qwen3-0.6B-Base,Qwen3,1024,151936,True,True,tied,12,
Qwen3-1.7B,Qwen3,2048,151936,True,True,tied,16,
Qwen3-1.7B-Base,Qwen3,2048,151936,True,True,tied,16,
Qwen3-14B,Qwen3,5120,151936,False,False,untied,15,
Qwen3-14B-Base,Qwen3,5120,151936,False,False,untied,12,
Qwen3-30B-A3B,Qwen3-MoE,2048,151936,False,False,untied,5,
Qwen3-32B,Qwen3,5120,151936,False,False,untied,14,
Qwen3-4B,Qwen3,2560,151936,True,True,tied,14,
Qwen3-4B-Base,Qwen3,2560,151936,True,True,tied,14,
Qwen3-8B,Qwen3,4096,151936,False,False,untied,21,
Qwen3-8B-Base,Qwen3,4096,151936,False,False,untied,18,
Yi-1.5-9B,Yi,4096,64000,False,False,untied,9,
